Date and hour,Avg Avg Wind Speed @ 80m [m/s]
01/01/2014 1:00,7.5023
01/01/2014 2:00,7.9678
01/01/2014 3:00,8.0371
01/01/2014 4:00,10.8764
01/01/2014 5:00,13.699
01/01/2014 6:00,10.1033
01/01/2014 7:00,4.7916
01/01/2014 8:00,6.5353
01/01/2014 9:00,3.4203
01/01/2014 10:00,2.3839
01/01/2014 11:00,2.7411
01/01/2014 12:00,3.6971
01/01/2014 13:00,2.3616
01/01/2014 14:00,3.8893
01/01/2014 15:00,4.2282
01/01/2014 16:00,6.873
01/01/2014 17:00,5.7185
01/01/2014 18:00,2.3468
01/01/2014 19:00,1.4462
01/01/2014 20:00,4.925
01/01/2014 21:00,5.911
01/01/2014 22:00,7.0554
01/01/2014 23:00,6.2049
01/02/2014 0:00,3.6919
01/02/2014 1:00,3.0902
01/02/2014 2:00,4.5744
01/02/2014 3:00,3.0457
01/02/2014 4:00,2.7281
01/02/2014 5:00,1.8796
01/02/2014 6:00,4.1036
01/02/2014 7:00,3.6967
01/02/2014 8:00,3.3487
01/02/2014 9:00,2.7877
01/02/2014 10:00,1.609
01/02/2014 11:00,1.8434
01/02/2014 12:00,2.9919
01/02/2014 13:00,2.6809
01/02/2014 14:00,2.5964
01/02/2014 15:00,1.6309
01/02/2014 16:00,1.9174
01/02/2014 17:00,3.5429
01/02/2014 18:00,7.5394
01/02/2014 19:00,5.6134
01/02/2014 20:00,3.9585
01/02/2014 21:00,2.2182
01/02/2014 22:00,4.136
01/02/2014 23:00,7.5421
01/03/2014 0:00,6.658
01/03/2014 1:00,5.8247
01/03/2014 2:00,12.2939
01/03/2014 3:00,13.3914
01/03/2014 4:00,19.8772
01/03/2014 5:00,10.2015
01/03/2014 6:00,6.2292
01/03/2014 7:00,11.8727
01/03/2014 8:00,12.3158
01/03/2014 9:00,15.265
01/03/2014 10:00,13.9442
01/03/2014 11:00,9.5746
01/03/2014 12:00,10.7612
01/03/2014 13:00,8.899
01/03/2014 14:00,7.3373
01/03/2014 15:00,5.8779
01/03/2014 16:00,5.2053
01/03/2014 17:00,5.7794
01/03/2014 18:00,4.7964
01/03/2014 19:00,2.9625
01/03/2014 20:00,6.7054
01/03/2014 21:00,15.7722
01/03/2014 22:00,10.9186
01/03/2014 23:00,7.2897
01/04/2014 0:00,4.5852
01/04/2014 1:00,7.4036
01/04/2014 2:00,6.2051
01/04/2014 3:00,3.7367
01/04/2014 4:00,3.5297
01/04/2014 5:00,5.4153
01/04/2014 6:00,6.4463
01/04/2014 7:00,5.5768
01/04/2014 8:00,2.6144
01/04/2014 9:00,2.2894
01/04/2014 10:00,2.9836
01/04/2014 11:00,3.4177
01/04/2014 12:00,3.6999
01/04/2014 13:00,4.8154
01/04/2014 14:00,5.7941
01/04/2014 15:00,5.137
01/04/2014 16:00,4.5286
01/04/2014 17:00,4.998
01/04/2014 18:00,3.8476
01/04/2014 19:00,2.193
01/04/2014 20:00,0.5319
01/04/2014 21:00,1.1241
01/04/2014 22:00,3.6784
01/04/2014 23:00,4.1926
01/05/2014 0:00,2.8298
01/05/2014 1:00,4.3876
01/05/2014 2:00,2.1199
01/05/2014 3:00,4.6316
01/05/2014 4:00,4.2071
01/05/2014 5:00,3.7111
01/05/2014 6:00,2.5629
01/05/2014 7:00,7.304
01/05/2014 8:00,7.466
01/05/2014 9:00,6.3847
01/05/2014 10:00,5.1715
01/05/2014 11:00,3.6136
01/05/2014 12:00,1.7735
01/05/2014 13:00,1.1733
01/05/2014 14:00,0.899
01/05/2014 15:00,1.9785
